#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESCplot_events_CK2plus.3;My guards caught [From.GetTitledFirstName] just as [From.GetSheHe] was about to break into my bedchamber, dagger in hand. Under interrogation, [From.GetSheHe] has confessed to planning to kidnap me to force me to give [From.GetHerHim] lands and a title.;Mes gardes ont attrapé [From.GetTitledFirstName] juste au moment où [From.GetSheHe] allait pénétrer dans ma chambre, dague à la main. Sous la question, [From.GetSheHe] a confessé son projet de m'enlever pour me forcer à lui donner des terres et un titre. ;Meine Wachen schnappten [From.GetTitledFirstName] gerade als [From.GetSheHe] versuchte in meine Gemächer einzudringen. Mit einem Dolch in der Hand !. Im Verhör gstand [From.GetSheHe] das er plante mich zu kidnapen um mich zu zwingen Ländereien und Titel an [From.GetHerHim] zu geben.;;Mis guardias han atrapado a [From.GetTitledFirstName] justo cuando intentaba entrar en mis aposentos, daga en mano. En el interrogatorio, ha confesado su plan para secuestrarme y forzarme a cederle tierras y un título. ;;;;;;;;;x
EVTOPTAplot_events_CK2plus.3;Let [From.GetHerHim] rot in jail;Laissez-le(a) pourrir dans les geôles;Laßt [From.GetHerHim] im Kerker verrecken!;;Que se pudra en la cárcel!;;;;;;;;;x
EVTOPTBplot_events_CK2plus.3;The punishment for treason is death!;La punition pour la trahison est la mort !;Die Strafe für den Verrat ist Tod!;;El castigo por traición es la muerte!;;;;;;;;;x
EVTOPTCplot_events_CK2plus.3;I will forgive [From.GetHerHim]... this time.;Je vais le(a) pardonner... Pour cette fois.;Ich vergebe [From.GetHerHim]... Diesmal!;;Le perdonaré...por esta vez.;;;;;;;;;x
EVTTOOLTIPplot_events_CK2plus.3;The kidnapping fails;L'enlèvement est un échec;Das Kidnapping scheitert;;El secuestro ha sido un fracaso;;;;;;;;;x
plot_kidnap_liege_desc;[From.GetTitledFirstName] has decided that kidnapping is the only way to make [This.GetTitledFirstName] give up some of [This.GetHerHis] land.;[From.GetTitledFirstName] a décidé que l'enlèvement constitue le seul moyen de pousser [This.GetTitledFirstName] à abandonner certaines de ses terres. ;[From.GetTitledFirstName] hat sich entschieden, dass Entführung der einzige Weg ist, [This.GetTitledFirstName] zu überzeugen, ein bisschen Land herzugeben.;;[From.GetTitledFirstName] ha decidido que el secuestro es la única manera de que [This.GetTitledFirstName] abandone sus tierras.;;;;;;;;;x
plot_kidnap_character_title;Kidnap [This.GetTitledFirstNameWithDynasty];Enlever [This.GetTitledFirstNameWithDynasty];;;Secuestrar a [This.GetTitledFirstName];;;;;;;;;x
plot_kidnap_character_desc;[From.GetTitledFirstName] wants to see [This.GetTitledFirstName] of [This.Liege.PrimaryTitle.GetName], brought in chains before [From.GetHerHim].;[From.GetTitledFirstName] veut qu'on lui ramène [This.GetTitledFirstName] de [This.Liege.PrimaryTitle.GetName] enchaîné.;;;[From.GetTitledFirstName] quiere que le traigamos a [This.GetTitledFirstName] encadenado.;;;;;;;;;x
plot_instigate_revolt_title;Incite [This.GetTitledFirstName] to Revolt;Inciter [This.GetTitledFirstName] à se révolter.;;;Incitar a [This.GetTitledFirstName] a rebelarse.;;;;;;;;;x
plot_instigate_revolt_desc;[From.GetTitledFirstName] wants to see [This.GetFirstNameWithDynasty], [This.GetTitle] of [This.PrimaryTitle.GetName], at war with [This.Liege.GetTitledFirstName].;[From.GetTitledFirstName] veut voir [This.GetFirstNameWithDynasty], [This.GetTitle] de [This.PrimaryTitle.GetName], partir en guerre contre [This.Liege.GetTitledFirstName].;;;[From.GetTitledFirstName] quiere ver a [This.GetTitledFirstName] en guerra contra [This.Liege.GetTitledFirstName].;;;;;;;;;x
plot_fabricate_treason_title;Fabricate Evidence of [This.GetTitledFirstName]'s Treason;Fabriquer des preuves de la trahison de [This.GetTitledFirstName];;;Fabricar pruebas de la traición de [This.GetTitledFirstName];;;;;;;;;x
plot_fabricate_treason_desc;[From.GetTitledFirstName] wants to convince [This.Liege.GetTitledFirstName] that [This.GetFirstNameWithDynasty], [This.GetTitle] of [This.PrimaryTitle.GetName], is a traitor.;[From.GetTitledFirstName] veut convaincre [This.GetFirstNameWithDynasty], [This.GetTitle] de [This.PrimaryTitle.GetName], que [This.GetTitledFirstName] est un(e) traître(sse). ;;;[From.GetTitledFirstName] quiere convencer a [This.Liege.GetTitledFirstName] que [This.GetTitledFirstName] es un traidor.;;;;;;;;;x
plot_kidnap_liege_title;Abduct [This.GetTitledFirstName];Enlever [This.GetTitledFirstNameWithDynasty];;;Secuestrar a [This.GetTitledFirstName];;;;;;;;;x
EVTDESCplot_events_CK2plus.4;My co-conspirators send word that they have prepared everything we need to discredit [Root.PlotTarget.GetTitledFirstName]. Documents of [Root.PlotTarget.GetHerHis] corruption have been prepared, and courtiers have been bribed to whisper to [Root.Liege.GetTitledFirstName] of [Root.PlotTarget.GetHerHis]'s incompetence. With [Root.PlotTarget.GetHerHis] reputation in tatters, [Root.PlotTarget.GetTitledFirstName] will find it impossible to hold on to [Root.PlotTarget.GetHerHis] position on the council.;Mes co-conspirateurs m'ont informé qu'ils avaient préparé tout ce dont nous avions besoin pour discréditer [Root.PlotTarget.GetTitledFirstName]. Les documents prouvant sa corruption ont été préparé et des courtisans ont été corrompus pour chuchoter des rumeurs sur son incompétence aux d'oreille de [Root.Liege.GetTitledFirstName]. Avec sa réputation en lambeaux, il sera impossible pour [Root.PlotTarget.GetTitledFirstName] de conserver sa position au conseil.;Meine Mitverschwörer senden wort, dass sie alles das wir brauchen, um [Root.PlotTarget.GetTitledFirstName] zu diskreditieren haben. Dokumente um [Root.PlotTarget.GetHerHis] Korruption dar zu legen wurden hergestellt und Höflinge wurden bestochen an [Root.Liege.GetTitledFirstName] zu flüstern von [Root.PlotTarget.GetHerHis]'s Inkompetenz . Mit [Root.PlotTarget.GetHerHis] Ruf in Fetzen, wird [Root.PlotTarget.GetTitledFirstName] es unmöglich finden um [Root.PlotTarget.GetHerHis] Position auf dem Konzil zu halten.;;Mis cómplices me han informado que tenían todo preparado para desacreditar a [Root.PlotTarget.GetTitledFirstName]. Los documentos que demuestran su corrupción estaban preparados y los cortesanos habían sido sobornados por el Consejero de los Rumores de  [Root.Liege.GetTitledFirstName]. Con su reputación por los suelos, le será imposible conservar su puesto en el Consejo.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.4;That position will be mine!;Cette position sera mienne !;Der Position wird mir gehören!;;Ese cargo será mío!;;;;;;;;;x
EVTOPTBplot_events_CK2plus.4;Wait for a better opportunity;Attendre une meilleure occasion;Warte für eine bessere Zeit möglichkeit;;Esperar una mejor ocasión;;;;;;;;;x
EVTDESCplot_events_CK2plus.5;I have found myself the target of a vicious campaign of slander at court. Rumors of incompetence and corruption have undermined the authority of my position, and it seems that even [Root.Liege.GetTitledName] have come to believe them as I have been removed from my position at the council.;J'ai été la cible d'une infâme campagne de calomnies à la cour. Les rumeurs de corruption et d'incompétences ont amoindri l'autorité de ma position et il semble que même [Root.Liege.GetTitledName] en est venu à croire en ces balivernes car j'ai été démis de mes fonctions au conseil. ;Ich bin das Ziel einer bösartigen Verleumdungskampagne bei Hof. Gerüchte von Inkompetenz und Korruption haben die Autorität meiner Position untergraben, und es scheint, dass auch [Root.Liege.GetTitledName] an die Entscheidung gekommen, sie zu glauben, als ich von meiner Position auf dem Konzil entfernt wurden.;;He sido el blanco de una infame campaña de calumnias en la corte. Los rumores de corrupción y de incompetencia han socavado mi autoridad y posición y parece que hasta el mismo [Root.Liege.GetTitledName] se las ha creído y me ha destituido del Consejo. ;;;;;;;;;x
EVTOPTAplot_events_CK2plus.5;I am ruined!;Je suis ruiné !;Ich bin ruiniert!;;Estoy perdido!;;;;;;;;;x
EVTDESCplot_events_CK2plus.6;The attempt to discredit [From.GetTitledFirstName] was a success! [Root.Liege.GetTitledFirstName] has dismissed [From.GetHerHim] from the council and [From.GetHerHis] position is now vacant and ready for me to occupy.;La tentative de discréditer [From.GetTitledFirstName] a été un succès ! [Root.Liege.GetTitledFirstName] l'a renvoyé du conseil. Sa place est désormais vacante et n’attend plus que moi.;Der Versuch, [From.GetTitledFirstName] zu diskreditieren war erfolgreich! [Root.Liege.GetTitledFirstName] hat [From.GetHerHim] aus dem Rat abgewiesen und [From.GetHerHis] Position ist jetzt frei und bereit für mich zu besetzen.;;El intento de desacreditar a [From.GetTitledFirstName] ha sido un éxito! [Root.Liege.GetTitledFirstName] lo ha destituido del Consejo. Su lugar está vacante y me está esperando.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.6;Excellent!;Excellent !;Gut!;;Excelente!;;;;;;;;;x
EVTDESCplot_events_CK2plus.7;Lately it seems that I have heard nothing but bad of [From.GetTitledFirstName], from whispers of incompetence at court to documents proving [From.GetHerHis] corruption slipped under my bedroom door at night. I refused to believe it at first, but in the end I could not deny the weight of the evidence and was forced to remove [From.GetTitledFirstName] from [From.GetHerHis] position at court.;Dernièrement je n'ai entendu que de mauvaises choses sur [From.GetTitledFirstName], des rumeurs de cour sur son incompétence ou des documents prouvant sa corruption déposés dans mes appartements. J'ai d'abord réfusé d'y croire mais je ne puis désormais fermer les yeux sur ces preuves et j'ai été forcé de démettre [From.GetTitledFirstName] de ses fonctions à la cour.;In letzter Zeit scheint es, dass ich nichts hörte, außer schlechtes von [From.GetTitledFirstName]. Von Flüstern der Inkompetenz am Hof, zur Dokumente von [From.GetHerHis] Korruption von die unter meiner Schlafzimmertür eines Nachtes geschlüpft wurde. Ich weigerte mich, es zuerst zu glauben, aber am Ende konnte ich es nicht leugnen. Das Gewicht der Beweismittel zwang mich [From.GetTitledFirstName] aus [From.GetHerHis] Stellung beim Hof zu entfernen.;;Últimamente solo he escuchado cosas malas de [From.GetTitledFirstName], rumores de la corte sobre su incompetencia o documentos que prueban su corrupción depositados en mis aposentos. Al principio me negué a creerlo pero ya no puedo ignorar las evidencias y me he visto forzado a destituir a [From.GetTitledFirstName] de su cargo en el Consejo.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.7;It had to be done;Je devais le faire;Es musste getan werden.;;Debía hacerlo;;;;;;;;;x
EVTDESCplot_events_CK2plus.8;I have found myself the target of a vicious campaign of slander at court. Whispers of incompetence and accusations of corruption have been directed at me, but fortunately [Root.Liege.GetTitledFirstName] have refused to give them credence and ordered an investigation into the source of the rumors. Although the investigation turned up nothing, my position at court is secure.;Je me suis retrouvé la cible d'une infâme campagne de calomnies à la cour. Des rumeurs d'incompétence et des accusations de corruptions me visaient mais heureusement [Root.Liege.GetTitledFirstName] a refusé de donner du crédit à ces balivernes et a ordonné une enquête sur la source de ces rumeurs. Bien que l'enquête n'ait rien donné, ma position à la cour n'est pas remise en cause. ;Ich habe mich das Ziel einer bösartigen Verleumdungskampagne beim Hof gefunden. Flüstern der Inkompetenz und vorwürfe der Korruptions sind mir angerichtet. Glücklicherweiser hat [Root.Liege.GetTitledFirstName] sich geweigert die Glaubwürdigkeit diese vorwürfe zu würdigen und dazu geordnet eine Untersuchung der Quelle diese Gerüchte. Obwohl die Untersuchung nichts tauchte ist meine Position beim Hof sicher.;;He sido el blanco de una infame campaña de calumnias en la corte. Los rumores de corrupción y de incompetencia han socavado mi autoridad y posición pero afortunadamente [Root.Liege.GetTitledFirstName] se negó a creer esas calumnias y ha ordenado una investigación sobre el origen de los rumores. A pesar de que la investigación no tuvo éxito, mi posición en la corte no está cuestionada. ;;;;;;;;;x
EVTOPTAplot_events_CK2plus.8;Who could have instigated such an underhanded scheme?;Qui a bien pu manigancer un plan aussi sournois ?;;;Quén ha podido diseñar un plan tan retorcido?;;;;;;;;;x
EVTDESCplot_events_CK2plus.9;Despite the rumors and accusations directed at [From.GetTitledFirstName], [Root.Liege.GetTitledFirstName] refused to dismiss [From.GetHerHim] from the council and has ordered an investigation into the source of the rumors. Fortunately, the investigation turned up no evidence of my involvement.;Malgré les rumeurs et les accusations dirigées contre [From.GetTitledFirstName], [Root.Liege.GetTitledFirstName] a refusé de le renvoyer du conseil et a ordonné une enquête sur les sources de ces rumeurs. Heureusement, l'enquête n'a pu trouver aucune preuve de mon implication.;;;A pesar de los rumores y acusaciones dirigidas contra [From.GetTitledFirstName], [Root.Liege.GetTitledFirstName] ha rechazado despedirlo del Consejo y ha ordenado una investigación sobre el origen de los rumores. Afortunadamente, la investigación no ha encontrado ninguna prueba de mi implicación.;;;;;;;;;x
EVTOPTAplot_events_CK2plus.9;It could have been worse...;Cela aurait pu être pire…;;;Podría haber sido peor...;;;;;;;;;x
EVTDESCplot_events_CK2plus.10;Lately it seems that I have heard nothing but bad of [From.GetTitledFirstName], from whispers of incompetence at court to documents proving [From.GetHerHis] corruption slipped under my bedroom door at night. I refused to believe the accusations, and ordered an investigation into the source of the rumors. A thorough questioning of the court turned up nothing, but has at least put a stop to the slanderous accusations.;Dernièrement, je n'ai entendu que de mauvaises choses sur [From.GetTitledFirstName], des rumeurs de cour sur son incompétence ou des documents prouvant sa corruption déposés dans mes appartements. J'ai refusé de croire à ces accusation et j'ai ordonné l'ouverture d'une enquête sur les sources de ces rumeurs. Un interrogatoire minutieux de la cour n'a rien donné mais a au moins mis fin aux accusations calomnieuses. ;;;Últimamente solo he escuchado cosas malas de [From.GetTitledFirstName], rumores de la corte sobre su incompetencia o documentos que prueban su corrupción depositados en mis aposentos. No me creí esas acusacionessation y he ordenado una investigación sobre el origen de los rumores. Un interrogatorio minucioso de la corte no dio mucho resultado, pero al menos puso fin a esas acusaciones calumniosas.;;;;;;;;;x
